"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.195134390E0,5.329513550E-1,-1.891752332E-2,-2.961893082E-1,6.100189552E-1
1.205144236E0,5.862634182E-1,2.138420194E-2,-3.853225708E-2,5.879173534E-1
1.215123390E0,6.013597846E-1,4.062777013E-2,-1.666212082E-1,6.253373756E-1
1.225133236E0,4.712780118E-1,1.427748054E-2,-1.808614731E-1,5.049927557E-1
1.235143005E0,-2.954792976E-2,1.441229880E-2,3.168010712E-2,4.565548923E-2
1.245122159E0,-1.857724190E-1,-3.090929985E-2,-2.909660339E-2,1.905607221E-1
1.255131928E0,-3.586843014E-1,-8.811187744E-2,-3.298006058E-1,4.951631757E-1
1.265141774E0,-4.926493168E-1,-1.475626230E-1,-4.370136261E-1,6.748770158E-1
1.275151390E0,-4.720039368E-1,9.017740935E-2,1.216856956E0,1.308304450E0
1.285130698E0,-7.765648365E-1,1.767547727E-1,1.171469688E0,1.416557950E0
1.295140544E0,-2.937948704E-1,-4.856891185E-2,-9.541807175E-1,9.995675098E-1
1.305150390E0,-3.933241367E-1,-9.567074478E-2,-2.211618423E-1,4.612692581E-1
1.315129467E0,1.201697588E-1,-1.878618598E-1,9.193878174E-1,9.460479946E-1
1.325139313E0,-3.558691740E-1,2.351477742E-4,-3.731918335E-1,5.156695346E-1
1.335149159E0,-7.441246510E-1,7.422648370E-3,-7.244768143E-1,1.038577511E0
1.345128313E0,-8.340169191E-1,1.056992859E-1,2.181959152E-1,8.685424675E-1
1.355138082E0,-7.383227348E-1,1.997166127E-2,-2.164840698E-4,7.385928343E-1
1.365147929E0,-1.240455389E0,4.905575514E-2,-9.686079025E-1,1.574591156E0
1.375127082E0,-1.092938900E0,-5.625150353E-2,7.693843842E-1,1.337771281E0
1.385136852E0,-8.829667568E-1,-1.073939800E-1,1.103931427E0,1.417684152E0
1.395146467E0,-9.584608078E-1,9.042086452E-2,-1.780974865E0,2.024523283E0
1.405125852E0,-1.360430956E0,3.127778322E-2,-7.807397842E-1,1.568854772E0
1.415135621E0,-1.165797949E0,-1.516140997E-1,7.781505585E-2,1.178187963E0
1.425145467E0,-7.638478279E-1,-8.735915273E-2,6.599225998E-1,1.013209240E0
1.435124621E0,2.266163826E-1,-1.453859359E-2,4.257868767E0,4.263919886E0
1.445134390E0,3.922033310E-1,-8.070735633E-2,1.800270081E0,1.844263943E0
1.455144236E0,-7.393140793E-1,-1.838006973E-1,8.984441757E-1,1.177951587E0
1.465123390E0,-1.393208504E0,-2.061766982E-1,2.982301712E-1,1.439611059E0
1.475133236E0,-1.330123663E0,-2.002933323E-1,-8.693552017E-1,1.601600713E0
1.485143006E0,-1.408343315E0,-1.751591116E-1,-1.737298965E-1,1.429787986E0
1.495122160E0,-1.250715733E0,-2.281690538E-1,-1.834001541E-1,1.284518033E0
1.505131929E0,-1.093347311E0,-2.206766307E-1,-1.805763245E-1,1.129917841E0
1.515141775E0,-1.113610506E0,-1.667284220E-1,-5.672168732E-2,1.127450254E0
